factor_name,horizon,period,universe,n_days,ic_mean,ic_std,icir,rank_ic_mean,pos_ic_ratio,t_stat,p_value,ci_low,ci_high,partial_ic_mean,partial_ic_std,partial_icir,partial_t_stat,partial_p_value,partial_ci_low,partial_ci_high
noise_alpha,20,pre_event,theme_core,150,-0.0031364454728336788,0.11695687745089224,-0.02681711021355377,-0.007159556180653229,0.52,-0.3284411819959298,0.7430392335845297,-0.021853444021542448,0.01558055307587509,-0.0036479793483223336,0.12548483703763977,-0.02907107690810568,-0.35604652349032884,0.7223093430580574,-0.023729735666625458,0.016433776969980794
noise_alpha,40,post_event,theme_core,47,-0.03543359806827406,0.11732196913031524,-0.30202014448731446,-0.04158761508613381,0.3191489361702128,-2.0705457929682454,0.04404054627590415,-0.06897540740650504,-0.00189178873004308,-0.04209799528316363,0.1221392716208618,-0.3446720675872538,-2.362952645784296,0.022413437374687373,-0.07701704916357427,-0.007178941402752992
noise_alpha,40,post_event_extended,theme_core,63,0.0013736568949019026,0.12199422423058466,0.011260015820958176,-0.007002954330661787,0.47619047619047616,0.08937360486272439,0.9290730841040915,-0.028751205117133284,0.03149851890693709,-0.005962837235898417,0.1277856764672899,-0.04666279821607989,-0.3703744786744074,0.7123658237499804,-0.037517821867101814,0.02559214739530498
noise_alpha,40,pre_event,theme_core,150,-0.00582203350500077,0.10721659298305954,-0.05430160894891208,-0.006476949523363026,0.4666666666666667,-0.665056170684917,0.5070426512728834,-0.022980261896520766,0.011336194886519223,-0.011388963901401705,0.117926984761035,-0.09657640212272098,-1.182814531972543,0.2387665909060801,-0.030261211953275923,0.007483284150472513
noise_alpha,60,post_event,theme_core,47,-0.03319645017134232,0.1131067912935269,-0.2934965247594479,-0.04258162013346501,0.3404255319148936,-2.012110800168828,0.05008572686053947,-0.06553315962609581,-0.0008597407165888277,-0.034570737592570636,0.1153469474826324,-0.2997109013030093,-2.054714419308319,0.04561207042251936,-0.06754789735974068,-0.0015935778254006008
noise_alpha,60,post_event_extended,theme_core,43,-0.007126474313810834,0.11246143117094891,-0.06336816310809806,-0.013310219256642573,0.46511627906976744,-0.415532833979295,0.6798672743729224,-0.040740880957222364,0.0264879323296007,-0.01607203155402471,0.11450627535164971,-0.14035939519181256,-0.9203981052785207,0.3626212670635651,-0.05029763639309148,0.018153573285042066
noise_alpha,60,pre_event,theme_core,150,-0.005227997920036905,0.10573226020452442,-0.04944562719007488,-0.0103272386310361,0.4866666666666667,-0.6055827831378472,0.5457131635801795,-0.02214868359438486,0.011692687754311048,-0.008050001190555826,0.11675089659429279,-0.06895023015137461,-0.8444644075916575,0.3997637875539717,-0.026734035936895193,0.010634033555783542
noise_beta,1,post_event,theme_core,47,0.017592239839376755,0.11262380902458188,0.1562035593693779,0.015288625549869822,0.5531914893617021,1.0708776503896933,0.28981117847553306,-0.01460638721445227,0.049790866893205776,0.023530198674710175,0.11681317403069669,0.20143446036768767,1.3809650848990398,0.1739623417172258,-0.009866148493475942,0.05692654584289629
noise_beta,1,post_event_extended,theme_core,102,0.02016973905391626,0.12477901820531716,0.16164367490636958,0.027946232407637224,0.5882352941176471,1.6325210929718739,0.1056837175585239,-0.004045990051126894,0.04438546815895941,0.02131017844462562,0.12720944821314703,0.1675204062588114,1.6918731702872871,0.09375332027129168,-0.003377221583340924,0.045997578472592164
noise_beta,1,pre_event,theme_core,150,0.0006955177183875186,0.11820752784564152,0.005883869928281927,0.00847819971870605,0.5,0.07206239518598485,0.9426488923634153,-0.018221626577485994,0.019612662014261033,0.0023793130055471084,0.12351035043645177,0.019264077845615915,0.23593580543506423,0.8138064827660532,-0.017386459647200328,0.022145085658294546
noise_beta,2,post_event,theme_core,47,0.0023548894852037385,0.1018161503582382,0.023128840335429147,0.007187459476713448,0.5531914893617021,0.15856334064752606,0.8747070027783908,-0.02675387785124769,0.03146365682165517,-0.00017006740497200698,0.11250177675509854,-0.0015116863917822487,-0.010363599766185628,0.9917760087304317,-0.03233380599633775,0.03199367118639373
noise_beta,2,post_event_extended,theme_core,101,0.021328268698072066,0.1139431445290716,0.1871834307032868,0.02132936922384222,0.5742574257425742,1.8811701969027337,0.06285773898916425,-0.0008937539116039596,0.043550291307748096,0.022595054441715827,0.12057731140070886,0.18739059761107754,1.8832521985588428,0.06257211310337185,-0.0009208117495744725,0.046110920633006126
noise_beta,2,pre_event,theme_core,150,-0.004331232380082128,0.1124693844465387,-0.038510323510670054,-0.005182684794499139,0.5133333333333333,-0.47165321215324074,0.6378642632269695,-0.022330082480572513,0.013667617720408259,-0.003603782805457303,0.12097085399721592,-0.029790504790023573,-0.3648576795774794,0.7157349892949076,-0.022963151386861558,0.015755585775946948
noise_beta,3,post_event,theme_core,47,0.001023264164715022,0.10602794802615263,0.009650890956246988,-0.001798984548782555,0.48936170212765956,0.0661631749821635,0.9475346411664392,-0.02928963668053794,0.031336165009967984,-0.0026888380557563447,0.11370250711855193,-0.023648010267291887,-0.16212259037929072,0.8719193698521377,-0.03519585991466461,0.029818183803151925
noise_beta,3,post_event_extended,theme_core,100,0.028209779424203173,0.10742443006936372,0.2626011551188885,0.025432489451476793,0.6,2.626011551188885,0.010010809830769185,0.007154591130607884,0.049264967717798466,0.024217231350644096,0.11247342353925778,0.2153151436898451,2.153151436898451,0.033735739262843456,0.00217244033694957,0.04626202236433862
noise_beta,3,pre_event,theme_core,150,-0.009180311032722084,0.11825681981483924,-0.07763028844421968,-0.005011720581340834,0.4533333333333333,-0.9507729763670779,0.3432593168540907,-0.028105343686561757,0.009744721621117588,-0.004739950248654716,0.12658396861750743,-0.0374451069943714,-0.45860702750065685,0.6471846204150922,-0.024997604253640365,0.015517703756330931
noise_beta,5,post_event,theme_core,47,0.03358378963406295,0.10265463089756731,0.32715318676245725,0.03336176197743664,0.574468085106383,2.242849249863902,0.029766872320406756,0.004235304582400359,0.06293227468572554,0.031593808395018755,0.1081016494915022,0.2922601879215758,2.003634901838625,0.05101972204633842,0.000688045874405515,0.06249957091563199
noise_beta,5,post_event_extended,theme_core,98,0.016518361870716734,0.11335088051035076,0.14572768906906144,0.014561745936067818,0.5714285714285714,1.442630520063293,0.15234595390028138,-0.005923967482737092,0.03896069122417056,0.011204696514391438,0.12036690928834419,0.09308784765379409,0.9215226765088127,0.35906393332871267,-0.01262673566631974,0.035036128695102614
noise_beta,5,pre_event,theme_core,150,-0.011457094661724898,0.11249917697266713,-0.10184158649008179,-0.014519299890607905,0.47333333333333333,-1.2472996074811062,0.21424458562804483,-0.02946071255937661,0.006546523235926815,-0.008158789605987992,0.12118702394882593,-0.06732395383711405,-0.8245466718380954,0.4109470306474836,-0.027552752584564463,0.011235173372588479
noise_beta,10,post_event,theme_core,47,0.03521655150838412,0.11277561786740081,0.31227096933125204,0.026879033625599753,0.6382978723404256,2.1408219074674917,0.03762119375707873,0.0029745230072436013,0.06745858000952464,0.03333778756812614,0.11828961197459127,0.2818319124699397,1.9321422472643666,0.059514275456902466,-0.0004806663920013457,0.06715624152825361
noise_beta,10,post_event_extended,theme_core,93,0.017922619562507517,0.11429742534328184,0.15680685289872953,0.0210554572539056,0.5591397849462365,1.5121905262857434,0.1339129851436831,-0.005307478584448393,0.041152717709463424,0.01620394478350378,0.11951766040178656,0.13557782782084615,1.307465222438275,0.19431283235055608,-0.00808712715525043,0.04049501672225799
noise_beta,10,pre_event,theme_core,150,-0.021803742302108697,0.10967364196046465,-0.1988056739281855,-0.02303266135333646,0.38666666666666666,-2.4348622954709374,0.01607881490765961,-0.03935518042311645,-0.004252304181100945,-0.01605356331750202,0.11655375404435811,-0.13773527458748644,-1.6869057116073625,0.09371399765323152,-0.03470604868511789,0.002598922050113847
